First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eight
9925.751397476346,10962.258481207355,10904.916526918994,11093.612240442404,11116.307163685275,11325.5515272739,11812.094307268515,11066.306240590267
10962.258481207355,10904.916526918994,11093.612240442404,11116.307163685275,11325.5515272739,11812.094307268515,11066.306240590267,11230.907762749297
10904.916526918994,11093.612240442404,11116.307163685275,11325.5515272739,11812.094307268515,11066.306240590267,11230.907762749297,11181.917508034885
11093.612240442404,11116.307163685275,11325.5515272739,11812.094307268515,11066.306240590267,11230.907762749297,11181.917508034885,11719.26352395155
11116.307163685275,11325.5515272739,11812.094307268515,11066.306240590267,11230.907762749297,11181.917508034885,11719.26352395155,11768.127742240009
11325.5515272739,11812.094307268515,11066.306240590267,11230.907762749297,11181.917508034885,11719.26352395155,11768.127742240009,11571.487980683192
11812.094307268515,11066.306240590267,11230.907762749297,11181.917508034885,11719.26352395155,11768.127742240009,11571.487980683192,11739.131006414418
11066.306240590267,11230.907762749297,11181.917508034885,11719.26352395155,11768.127742240009,11571.487980683192,11739.131006414418,11682.851469154939
11230.907762749297,11181.917508034885,11719.26352395155,11768.127742240009,11571.487980683192,11739.131006414418,11682.851469154939,11862.938012702563
11181.917508034885,11719.26352395155,11768.127742240009,11571.487980683192,11739.131006414418,11682.851469154939,11862.938012702563,11398.671060896633
11719.26352395155,11768.127742240009,11571.487980683192,11739.131006414418,11682.851469154939,11862.938012702563,11398.671060896633,11579.867951602135
